fedilug,4786,4786,3000,FediLUG,名詞,固有名詞,組織,*,*,*,フェディラグ,FediLUG,*,*,*,*,*,*
w3c,4787,4787,5000,W3C,名詞,固有名詞,組織,*,*,*,ダブリュースリーシー,W3C,*,*,*,*,*,*
